Compound,SMILE,FP-2 IC50 (uM),FP-2 pIC50 (uM)
240,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1CC(OCc2ccccc2)=CC1=O,0.00959,8.018181392829337
241,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C(C)C)C(OCc2ccccc2)=CC1=O,0.00686,8.163675884293248
242,CC1CC(NCC(=O)NCN2CCOCC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.035,7.455931955649724
243,CC1CC(NCC(=O)N2CCCC2CO)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.027,7.568636235841013
244,CC1CC(NCC(=O)N2CCN(C)CC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0087,8.060480747381382
245,CC1CC(NCC(=O)N2CCN(CCO)CC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0092,8.036212172654444
246,CC1CC(NCC(=O)N2CCOCC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0035,8.455931955649724
247,CCOC(=O)C1CCN(CC1)C(=O)CNC1CC(C)CN(C\C=C\S(=O)(=O)c2ccccc2)C1=O,0.0069,8.161150909262744
248,CC1CC(NCC(=O)N2CCC(O)CC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0099,8.00436480540245
249,CC1CC(NCC(=O)N2CCC(CC2)N2CCCC2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.0067,8.173925197299173
250,CC1CC(NCS(=O)(=O)c2ccccc2)C(=O)N(C\C=C\S(=O)(=O)c2ccccc2)C1,0.14,6.853871964321762
251,CC(C)CC(NCC(=O)N1CCN(C)CC1)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0023,8.638272163982407
252,CC1CC(NCC(=O)N2CCOCC2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0022,8.657577319177793
253,CC(C)CCNC(=O)CNC1CC(C)CN([C@@H](CCc2ccccc2)\C=C\S(=O)(=O)NOCc2ccccc2)C1=O,0.025,7.6020599913279625
254,CC1CC(NCC(=O)NCCN2CCOCC2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.014,7.853871964321762
255,CC1CC(NCC(=O)NCCCCCO)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.016,7.795880017344075
256,CC1CC(NCC(=O)N2CCCC2CO)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0036,8.443697499232712
257,CC1CC(NCC(=O)N2CCN(CCO)CC2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.0025,8.602059991327963
258,CCOC(=O)C1CCN(CC1)C(=O)CNC1CC(C)CN([C@@H](CCc2ccccc2)\C=C\S(=O)(=O)NOCc2ccccc2)C1=O,0.0022,8.657577319177793
259,CC1CC(NCC(=O)NS(=O)(=O)c2ccccc2)C(=O)N(C1)[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.016,7.795880017344075
260,COc1ccc(OS(=O)(=O)\C=C\C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)N2CCOCC2)cc1,0.0007,9.154901959985743
261,COc1ccc(OS(=O)(=O)\C=C\C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)N2CCN(C)CC2)cc1,0.0019,8.721246399047171
262,CCOC(=O)C1CCN(CC1)C(=O)NC(CC(C)C)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(OC)cc1,0.0009,9.045757490560675
263,CC(C)CC(NC(=O)N1CCOCC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.0007,9.154901959985743
264,CC(C)CC(NC(=O)N1CCN(C)CC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.021,7.6777807052660805
265,CCOC(=O)C1CCN(CC1)C(=O)NC(CC(C)C)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.0009,9.045757490560675
266,CC(C)CC(NC(=O)N1CCOCC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.0007,9.154901959985743
267,CC(C)CC(NC(=O)N1CCN(C)CC1)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.35,6.455931955649724
268,CCOC(=O)C1CCN(CC1)C(=O)NC(CC(C)C)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.0007,9.154901959985743
269,CC(C)CC(NC(=O)N1CCCC1CO)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccccc1,0.0008,9.096910013008056
270,CC(C)CC(NC(=O)N1CCCC1CO)C(=O)NC(CCc1ccccc1)\C=C\S(=O)(=O)Oc1ccc(F)cc1,0.0009,9.045757490560675
271,COc1ccc(OS(=O)(=O)\C=C\C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)N2CCCC2CO)cc1,0.0009,9.045757490560675
272,O=C(CNC(Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1)NCN1CCOCC1,0.11,6.958607314841775
273,CC(C)CCNC(=O)CNC(Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.12,6.920818753952375
274,OCC1CCCN1C(=O)CNC(Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)O[Ar],0.071,7.1487416512809245
275,OCCCCCNC(=O)CNC(Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.12,6.920818753952375
276,CN1CCN(CC1)C(=O)CNC(Cc1ccccc1)C(=O)N[C@@H](COc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.12,6.920818753952375
277,CCOC(=O)C1CCN(CC1)C(=O)CNC(Cc1ccccc1)C(=O)N[C@@H](COc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.056,7.251811972993799
278,CC(C)CCNC(=O)CNC(Cc1ccccc1)C(=O)N[C@@H](COc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1,0.29,6.537602002101044
279,O=C(CNC(Cc1ccccc1)C(=O)N[C@@H](COc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1)NCC1CCCCC1,0.23,6.638272163982407
280,O=C(CNC(Cc1ccccc1)C(=O)N[C@@H](COc1ccccc1)\C=C\S(=O)(=O)NOCc1ccccc1)NCc1ccccc1,0.13,6.886056647693163
282,C=C(OCc1ccccc1)N1CCC[C@H]1C(=O)N[C@@H](CCc1ccccc1)C(=O)CSCCCc1ccccc1,48.13,4.317584138322641
293,CC(=O)OCC(=O)[C@H](CCc1ccccc1)NC(=O)C1(CCSCC1)N(=O)OCc1ccccc1,33.86,4.4703130462270835
294,OCC(=O)[C@H](CCc1ccccc1)NC(=O)C1(CCSCC1)N(=O)OCc1ccccc1,3.25,5.488116639021126
295,CC(=O)OCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)OCc1ccccc1,29.67,4.527682453683158
296,OCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)OCc1ccccc1,30.08,4.521722168080395
298,OCC(=O)[C@H](CCc1ccccc1)NC(=O)C1C2CC(C=C2)C1NC(=O)OCc1ccccc1,33.64,4.473144012874125
299,OCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1,0.08,7.096910013008056
300,O[C@@H]1C[C@H](N(C1)C(=O)OCc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CSCCCc1ccccc1,1.1,5.958607314841775
303,Cc1ccc(Sc2ccc(NC(=O)n3nc(C(O)=O)c4ccccc4c3=O)cc2)c(C)c1,1.39,5.856985199745905
304,Cc1cc(NC(=O)Cn2nnc(n2)-c2ccc(NC(=O)c3ccc(F)cc3)cc2)no1,2.18,5.661543506395395
305,CCOc1cccc(c1)C1=C(C(=O)c2ccc3OCCOc3c2)C(=O)C(=O)N1c1nc2ccc(OC)cc2s1,3.26,5.486782399932061
306,O=C(CSc1nnc(Cc2ccccc2)n1-c1ccccc1)N1CCc2ccccc12,4.59,5.338187314462739
307,[H][C@](Cc1ccccc1)(N1COc2ccc3c(oc(C)c(-c4ccc5OCCOc5c4)c3=O)c2C1)C(=O)OC,7.51,5.124360062995832
308,Cc1nonc1NC(=O)CSc1nc(nc2ccccc12)C1(C)CC2CC3CC(C2)C13,7.85,5.105130343254747
309,COc1ccc(cc1)C(=O)Nc1ccc2nc(SCC(=O)c3ccccc3)sc2c1,10.32,4.986320302708807
310,Fc1ccc(cc1)-c1cc(nc(SCC(=O)c2cccs2)c1C#N)-c1cccs1,11.58,4.936291440608582
311,C[C@@H](Sc1nc2CCCCc2n1C(=O)c1ccc(NC(C)=O)cc1)C(=O)c1ccc(Cl)cc1,11.86,4.925915310971757
312,OC(=O)c1ccccc1NC(=O)C(=O)\C=C(/O)c1ccccc1NC1=CC(=O)C(=O)c2ccccc12,15.11,4.820735535660974
313,Cc1ccc(C)c(c1)C1[C@@H](N2C(C=Cc3ccccc23)C1(C#N)C#N)C(=O)c1ccccc1,20.87,4.680477550934546
314,CCOc1ccc2nc(NC(=O)C(\O)=C(/c3cnc4ccccc4n3)[N+]([O-])=O)sc2c1,23.81,4.62324060459512
315,CC1=C(C(c2cccs2)C(C#N)=C(N1)SCC(=O)c1ccc(Cl)cc1)C(=O)Nc1ccccc1C,25.25,4.597738617545319
316,O=C(NC(c1ccccc1)c1ccccc1)[C@H](N1CC(=O)C1)c1ccc2OCOc2c1,25.96,4.585695311871668
317,COc1ccc(cc1)-c1nc(SCC(=O)c2ccc(Cl)cc2)[nH]c1-c1ccc(OC)cc1,25.99,4.585193720498988
318,O=C([C@@H]1Nc2ccccc2-c2nnc(SCc3ccccc3)nc2O1)c1ccccc1,28.66,4.542723813938674
319,OC(=O)c1ccccc1NC(=O)CSc1nc2scc(-c3ccco3)c2c(=O)n1-c1ccccc1,32.85,4.4834646261042
320,FC(F)(F)c1cccc(NC(=O)CSC2=N\C(=C\c3ccccc3)C(=O)N2c2ccccc2)c1,37.34,4.4278256863869405
321,CN1CCN(CC1)C(=S)SCC(=O)NC1c2ccccc2-c2ccccc12,44.94,4.34736693191689
322,COC(=O)CC(=O)CSc1nc(cc(-c2ccc(OC)cc2)c1C#N)-c1cccs1,46.97,4.3281794398167515
323,CC(=O)CSc1nnc(CN2C(C(N=C2c2cccs2)c2ccccc2)c2ccccc2)n1C,49.18,4.308211475597302
330,COc1ccc(C(=O)\C=C\c2cccc(OCC#C)c2)c(OC)c1OC,19.0,4.721246399047171
358,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2ccc(Cl)cc12,44.1,4.355561410532162
359,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2cc(Cl)ccc12,48.5,4.314258261397736
360,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2c1cccc2Cl,42.1,4.375717904164332
361,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)N(C)c2ccccc12,51.0,4.292429823902063
362,CC(C)CCNC(=O)CNC=C1C(=O)Nc2ccccc12,51.0,4.292429823902063
363,CC(C)CCNC(=O)[C@H](CCc1ccccc1)NC=C1C(=O)Nc2ccccc12,49.9,4.30189945437661
364,CC(C)CCNC(=O)[C@H](Cc1ccccc1)NC=C1C(=O)Nc2ccc(Cl)cc12,43.3,4.363512103646634
365,CC(C)CCNC(=O)[C@H](CCc1ccccc1)NC=C1C(=O)Nc2c1cccc2Cl,44.0,4.356547323513813
392,O=C(CNc1ccccc1)N1CCN(CC1)C(=O)c1ccccc1,80.2,4.095825631715837
393,Fc1ccccc1C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,90.7,4.042392712939905
397,Cc1ccccc1C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,55.6,4.2549252084179425
398,Cc1cccc(c1)C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,65.1,4.186419011431808
399,Cc1ccc(cc1)C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,45.1,4.345823458122039
400,COc1ccccc1C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,72.2,4.141462802430361
401,COc1cccc(c1)C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,75.1,4.124360062995832
402,COc1ccc(cc1)C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,75.5,4.1220530483708115
405,CCc1ccc(cc1)C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,48.7,4.3124710387853655
406,CCOc1ccccc1C(=O)N1CCN(CC1)C(=O)CNc1ccccc1,49.1,4.308918507877031
414,FC(F)(F)Oc1ccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)cc1,13.44,4.871600731282194
415,FC(F)(F)c1ccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)cc1,18.04,4.743763466794078
416,Clc1ccccc1C=C1SC(=O)N(CC(=O)N2CCN(CC2)c2ccccc2)C1=O,15.8,4.801342913045577
417,Brc1ccccc1C=C1SC(=O)N(CC(=O)N2CCN(CC2)c2ccccc2)C1=O,23.88,4.6219656775426685
418,CC(C)c1cccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)c1,23.89,4.6217838502501225
419,FC(F)(F)c1ccc(c(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)c1)C(F)(F)F,35.28,4.452471423540218
420,FC(F)(F)Oc1ccccc1C=C1SC(=O)N(CC(=O)N2CCN(CC2)c2ccccc2)C1=O,35.28,4.452471423540218
421,FC(F)(F)Oc1cccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)c1,44.97,4.347077112432058
422,Fc1cccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)c1,33.25,4.478208350360877
427,Cc1ccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)cc1,45.71,4.339988778710669
428,Cc1cccc(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3)C2=O)c1,45.33,4.3436142809413125
429,O=C(CN1C(=O)SC(=Cc2ccccc2)C1=O)N1CCN(CC1)c1ccccc1,38.8,4.411168274405793
437,COc1cc(OC)c(C=C2SC(=O)N(CC(=O)N3CCN(CC3)Oc3ccccc3)C2=O)c(OC)c1,33.75,4.471726222832956
438,COc1cc(OC)c(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccccc3Cl)C2=O)c(OC)c1,12.64,4.898252926053634
439,COc1cc(OC)c(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3cccc(Cl)c3)C2=O)c(OC)c1,16.25,4.789146634685107
440,COc1cc(OC)c(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccc(Cl)cc3)C2=O)c(OC)c1,11.23,4.949620243738543
441,COc1cc(OC)c(C=C2SC(=O)N(CC(=O)N3CCN(CC3)c3ccc(cc3)C#N)C2=O)c(OC)c1,12.24,4.912218582190458
442,COc1cc(OC)c(C=C2SC(=O)NC2=O)c(OC)c1,47.84,4.320208829019646
445,COc1cc(OC)c(C=C2SC(=O)N(Cc3ccccc3)C2=O)c(OC)c1,36.24,4.440811810995225
446,COc1cc(OC)c(C=C2SC(=O)N(Cc3ccc(C)cc3)C2=O)c(OC)c1,43.35,4.363010898187771
447,COc1cc(OC)c(C=C2SC(=O)N(Cc3ccc(F)cc3F)C2=O)c(OC)c1,29.08,4.536405597813
451,COc1cc(OC)c(C=C2SC(=O)N(C2=O)C23CC4CC(CC(C4)C2)C3)c(OC)c1,29.08,4.536405597813
476,[O-][N+](=O)c1cccc(c1)C(=O)\C=C\c1cccc2ccccc12,12.0,4.920818753952375
479,[O-][N+](=O)c1cccc(\C=C\C(=O)c2ccc3ccccc3c2)c1,19.1,4.718966632752273
480,CC1CCC(O1)\C=C\C(=O)c1ccc2OCOc2c1,11.2,4.950781977329818
482,[O-][N+](=O)c1cccc(\C=C\C(=O)c2ccc3OCOc3c2)c1,14.8,4.8297382846050425
483,[O-][N+](=O)c1cccc(c1)C(=O)\C=C\c1ccc2OCOc2c1,8.5,5.070581074285707
484,COc1cc(OC)c(\C=C\C(=O)c2cccc(c2)[N+]([O-])=O)cc1OC,9.5,5.022276394711152
486,COc1cc(OC)c(cc1OC)C(=O)\C=C\c1ccc(o1)-c1cc(ccc1Cl)C(F)(F)F,4.9,5.309803919971486
493,C(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,17.1,4.767003889607846
494,C(CCCCNc1c2CCCCc2nc2ccccc12)CCCCNc1c2CCCCc2nc2ccccc12,11.5,4.939302159646388
495,Clc1ccc2c(NCCCCCCNc3c4CCCCc4nc4cc(Cl)ccc34)c3CCCCc3nc2c1,17.3,4.761953896871205
496,CC1CCc2c(C1)nc1ccc(cc1c2NCCCCCCNc1c2CCC(C)Cc2nc2ccc(cc12)[N+]([O-])=O)[N+]([O-])=O,5.2,5.2839966563652006
497,COc1ccc2nc3CCCCc3c(NCCCCCCCCCNc3c4CCCCc4nc4ccc(OC)cc34)c2c1,14.9,4.826813731587726
512,CCCCOC(=O)C1C(Oc2c1c(\C=C\C(=O)OC(Cc1ccc(O)c(O)c1)C(O)=O)ccc2O)c1ccc(O)c(O)c1,3.18,5.497572880015567
513,COC(=O)C(Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c2OC(C(C(=O)OC)c12)c1ccc(O)c(O)c1,3.77,5.423658649794207
514,Oc1ccc(cc1)C1CCc2c(O)cc3OC4(Oc5cc(O)cc(O)c5C(=O)C4(O)c3c2O1)c1ccc(O)cc1,5.23,5.281498311132726
515,CCOC(=O)c1c(O)cc(O)c2CCC(Oc12)c1ccc(O)cc1,9.12,5.0400051616715835
516,OC1OC(OC2C(Oc3cc(O)cc(O)c3C2=O)c2ccc(O)c(O)c2)C(O)C(O)C1O,15.74,4.802995271976954
517,COc1cc(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)c2c(c1)oc(cc2=O)-c1ccc(O)cc1,17.13,4.766242637034489
518,OC1C(Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1,44.81,4.348625056086957
519,CC1OC(OC2C(O)C(COC(=O)\C=C\c3ccc(O)c(O)c3)OC3OCC(OC23)c2ccc(O)c(O)c2)C(O)C(O)C1O,53.12,4.274741933640039
520,Oc1cc(O)c2C(=O)CC(Oc2c1)c1cc(O)c(O)c(O)c1,56.92,4.244735108587753
521,COC(=O)CC1OC(Oc2c(oc3cc(O)cc(O)c3c2=O)-c2cc(OC)c(O)c(OC)c2)C(O)C(O)C1O,68.19,4.1662793095553665
522,O=C(CCc1ccc(cc1)S(=O)(=O)NCCc1ccccc1)Nc1ccc2OCCOc2c1,54.2,4.266000713461613
528,Fc1ccc(NS(=O)(=O)c2ccc(CCC(=O)Nc3ccc4OCCOc4c3)cc2)cc1Cl,13.2,4.87942606879415
529,O=C(CCc1ccc(cc1)S(=O)(=O)NCCc1ccccc1)Nc1nc2ccccc2s1,8.9,5.050609993355088
532,CCc1nnc(NC(=O)CCc2ccc(cc2)S(=O)(=O)NCCc2ccccc2)s1,8.1,5.0915149811213505
535,O=C(CCc1ccc(cc1)S(=O)(=O)NCCc1ccccc1)Nc1nc(cs1)-c1ccccc1,2.7,5.568636235841013
536,CCc1nnc(NC(=O)CCc2ccc(cc2)S(=O)(=O)Nc2ccc(F)c(Cl)c2)s1,9.8,5.008773924307505
537,CCc1nnc(NC(=O)CCc2ccc(cc2)S(=O)(=O)Nc2ccc(F)cc2)s1,7.0,5.154901959985743
538,NC(=O)c1c(NCC(=O)CSc2nc3scc(-c4ccccc4)c3c(=O)n2CC=C)sc2CCCc12,2.4,5.619788758288394
539,CC(Sc1nc(n[nH]1)-c1ccccc1O)C(=O)Nc1cccc(Cl)c1,5.8,5.236572006437063
540,Cc1c(Cl)cccc1-c1ccc(\C=N\Nc2nncn2\N=C/c2ccc(o2)-c2cccc(Cl)c2C)o1,6.4,5.1938200260161125
541,OC(=O)c1cc(ccc1Cl)-c1ccc(\C=C2\SC(=O)N(CC(=O)Nc3ccc4OCOc4c3)C2=O)o1,10.9,4.962573502059376
542,Clc1ccc(cc1Cl)-c1ccc(\C=N\NC(=O)CNC(=O)COc2ccc3ccccc3c2)o1,13.2,4.87942606879415
543,CCOC(=O)c1ccc(NC(=O)CSc2nnc(-c3ccccc3Br)n2CC)cc1,17.1,4.767003889607846
544,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1)Oc1ccccc1,29.7,4.527243550682788
546,CCOC(=O)c1c(CC(=O)CSc2nnc3sc4ccccc4n23)scc1-c1ccc(cc1)-c1ccccc1,15.0,4.823908740944319
547,Cc1nnc(SCC(=O)Nc2ccc3nc(SCc4cccc5ccccc45)sc3c2)s1,15.0,4.823908740944319
573,Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,0.1,7.0
574,Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O,0.2,6.698970004336019
575,Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O,0.1,7.0
576,Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,0.3,6.522878745280337
577,Oc1ccc(c(O)c1)-c1oc2cc(O)cc(O)c2c(=O)c1O,0.2,6.698970004336019
579,Oc1ccc2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,0.3,6.522878745280337
